country,code,Bahrain,BHR
Uzbekistan,UZB,2017,19856
Vanuatu,VUT,2017,223
Venezuela,VEN,2017,9197
Vietnam,VNM,2017,50232
Wales,,2017,1366
Western Europe,,2017,172650
Western Sub-Saharan Africa,,2017,253654
World,OWID_WRL,2017,4895476
Yemen,YEM,2017,12379
Zambia,ZMB,2017,7106
Zimbabwe,ZWE,2017,9021
